title,price,rating,reviews,availability
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,056 ratings",In Stock
PlayStation 4 500GB Console (Renewed),,4.0 out of 5 stars,443 ratings,In Stock.
PlayStation 4 Slim 1TB Console - Black (Renewed),,4.4 out of 5 stars,"1,226 ratings",In Stock.
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.7 out of 5 stars,"145,974 ratings",In Stock
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black",,4.7 out of 5 stars,"16,329 ratings",In Stock
Sonic Frontiers - PlayStation 4,,4.7 out of 5 stars,493 ratings,In Stock
"BlueFire Stereo Gaming Headset for Playstation 4 PS4 PS5, Over-Ear Headphones with Mic and LED Lights for Xbox One, PC, Laptop(Green)",,4.4 out of 5 stars,"8,442 ratings",In Stock
"PS4 Fan Cooling Fan with Controller Charger Compatible with Playstation 4/PS4 Slim/PS4 Pro, PS4 Stand Vertical Cooling Station for PS4 Accessories,PS4 Pro Cooling Fan with Dual Charger & 12 Game Slots",,4.3 out of 5 stars,"1,349 ratings",In Stock
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console,,4.3 out of 5 stars,"1,058 ratings",In Stock.
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.8 out of 5 stars,8 ratings,Only 5 left in stock - order soon
"Sony PlayStation 4 Pro w/ Accessories, 1TB HDD, CUH-7215B - Jet Black (Renewed)",,4.1 out of 5 stars,501 ratings,Only 8 left in stock - order soon.
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,664 ratings",Only 17 left in stock - order soon
"Newest Sony Playstation 4 PS4 1TB HDD Gaming Console Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn, Included Dualshock 4 Wireless Controller",,4.6 out of 5 stars,562 ratings,Only 9 left in stock - order soon
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,263 ratings",Only 4 left in stock - order soon.
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,208 ratings",
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,263 ratings",Only 4 left in stock - order soon.
PlayStation 4 Slim 1TB Console - Black (Renewed),,4.4 out of 5 stars,"1,226 ratings",In Stock.
Sony PlayStation 2 Console - Black (Renewed),,4.3 out of 5 stars,"1,150 ratings",Only 3 left in stock - order soon.
Sony PlayStation 4 Slim Limited Edition 1TB Gaming Console,,4.3 out of 5 stars,"1,058 ratings",In Stock.
PlayStation 2 Slim Console PS2 (Renewed),,4.2 out of 5 stars,968 ratings,Only 1 left in stock - order soon.
"Playstation SONY 4, 500GB Slim System [CUH-2215AB01], Black, 3003347 (Renewed)",,4.7 out of 5 stars,340 ratings,Only 1 left in stock - order soon.
Playstation 2 Console - Black (Renewed),,4.2 out of 5 stars,314 ratings,
PlayStation 4 Slim 1TB Console - Marvels Spider-Man Bundle (Renewed),,4.4 out of 5 stars,308 ratings,
"Flagship Newest Play Station 4 1TB HDD Only on Playstation PS4 Console Slim Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn 1TB HDD Dualshock 4 Wireless Controller -Jet Black",,4.6 out of 5 stars,182 ratings,Only 9 left in stock - order soon
"PS4 Controller Charger Dock Station, PS4 Controller Charger Station for Playstation 4 Controller, PS4 Remote Charging Station with Fast-Charging Port, Replacement for Playstation 4 Controller Charger",,4.7 out of 5 stars,"1,913 ratings",In Stock
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,312 ratings,Only 18 left in stock - order soon
"PS 4 Slim Seyted Upgraded 2TB Console with Wireless Controller, Jet Black",,4.2 out of 5 stars,69 ratings,Only 4 left in stock - order soon
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,416 ratings",
Sony PlayStation 4 Pro 1TB White (PS4),,4.4 out of 5 stars,939 ratings,Only 1 left in stock - order soon
"Siomeoar Ps4 Controller Compatible with Ps4 Console Ps4 Pro Ps4 Games PC with Advanced Progammable,Dual Vibration,6-axis Motion Sensor,Turbo Function",,4.4 out of 5 stars,21 ratings,In Stock
PlayStation 4 Slim 500GB Console - Uncharted 4 Bundle Discontinued,,4.8 out of 5 stars,"6,399 ratings",Only 17 left in stock - order soon
"KASOTT SoundMaster Pro V1 - Gaming Earphones with Dual Audio Drivers,Battle Buds,in-Line Mic with Mute and Volume Control, Compatible with Xbox Series,PS5,PS4,Switch,Pc with 3.5mm (Black)",,3.9 out of 5 stars,685 ratings,In Stock
Sonic Frontiers - PlayStation 4,,4.7 out of 5 stars,493 ratings,In Stock
"TUOMAN Wireless Controller Compatible with PS4 System - Gamepad Joystick with Dual Vibration, 6-Axis Gyro Sensor, Audio Function for Playstation 4/ Slim/Pro (Black)",,4.0 out of 5 stars,5 ratings,Only 13 left in stock - order soon
PlayStation 4 Slim 500GB Console [Discontinued] (Renewed),,4.5 out of 5 stars,"1,263 ratings",Only 4 left in stock - order soon.
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.6 out of 5 stars,312 ratings,Only 18 left in stock - order soon
"PS 4 Slim Seyted Upgraded 2TB Console with Wireless Controller, Jet Black",,4.2 out of 5 stars,69 ratings,Only 4 left in stock - order soon
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,056 ratings",In Stock
PlayStation 4 Slim 1TB Console - Black (Renewed),,4.4 out of 5 stars,"1,226 ratings",In Stock.
